CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
18NA97015_326;CAST#1;46.0025;-60.9935;147684;15;02-jun-97;18:06:00;17.916;5.863;68.73174;4;0.094;1;14.59;1;2.908;1;35.155;1;6;5.02;0.42
18NA97015_036;CAST#1;46.0815;-60.8923;147688;4;02-jun-97;20:11:00;21.368;7.09;357.36932;4;NaN;9;0;7;0.1165;1;3.8;1;38;0.00;0.00
18NA97015_036;CAST#1;46.0815;-60.8923;147687;8;02-jun-97;20:11:00;22.101;5.625;371.39256;4;0.066;1;0;7;0.238;1;2.955;1;38;0.00;0.00
18NA97015_127;CAST#1;45.917;-60.9623;147690;1;03-jun-97;15:16:00;NaN;NaN;352.3674;4;0.037;1;0;7;0.1565;1;3.175;1;38;0.00;0.00
18NA97015_127;CAST#1;45.917;-60.9623;147689;7;03-jun-97;15:16:00;NaN;NaN;357.68194;4;0.066;1;0;7;0.1525;1;3.27;1;38;0.00;0.00
18NA97015_138;CAST#1;45.903;-61.0605;147692;1;03-jun-97;15:52:00;NaN;NaN;356.74408;4;0.037;1;0;7;0.2095;1;2.725;1;38;0.00;0.00
18NA97015_138;CAST#1;45.903;-61.0605;147691;5;03-jun-97;15:52:00;NaN;NaN;356.65476;4;NaN;9;0;7;0.171;1;2.755;1;38;0.00;0.00
18NA97015_149;CAST#1;45.8737;-61.0698;147694;1;03-jun-97;16:28:00;NaN;NaN;332.53836;4;0.037;1;0;7;0.088;1;3.595;1;38;0.00;0.00
18NA97015_149;CAST#1;45.8737;-61.0698;147693;4;03-jun-97;16:28:00;NaN;NaN;359.15572;4;0.037;1;0;7;0.1255;1;3.155;1;38;0.00;0.00
18NA97015_160;CAST#1;45.8908;-61.0155;147696;1;03-jun-97;17:31:00;NaN;NaN;324.05296;4;0.066;1;0;7;0.077;1;3.555;1;38;0.00;0.00
18NA97015_160;CAST#1;45.8908;-61.0155;147695;7;03-jun-97;17:31:00;NaN;NaN;381.75368;4;0.037;1;0;7;0.264;1;2.675;1;38;0.00;0.00
18NA97015_171;CAST#1;45.9097;-61.0292;147697;0;03-jun-97;20:48:00;NaN;NaN;NaN;9;NaN;9;0;1;0.076;1;9.39;1;0;0.00;0.00
18NA97015_182;CAST#1;45.9017;-61.0903;147698;0;03-jun-97;21:09:00;NaN;NaN;NaN;9;0.066;1;0;1;0.1785;1;1.99;1;0;0.00;0.00
18NA97015_193;CAST#1;45.8787;-61.115;180603;0;03-jun-97;21:24:00;NaN;NaN;NaN;9;0.066;1;0.61;1;0.018;1;15.355;1;0;33.89;0.04
18NA97015_204;CAST#1;45.8885;-61.1102;180604;0;03-jun-97;21:33:00;NaN;NaN;NaN;9;0.051;1;0.02;1;0.106;1;3.17;1;0;0.19;0.01
18NA97015_215;CAST#1;45.8543;-61.0888;180605;0;03-jun-97;21:46:00;NaN;NaN;NaN;9;0.037;1;0;1;0.0165;1;9.98;1;0;0.00;0.00
18NA97015_226;CAST#1;45.8363;-61.1772;180606;0;03-jun-97;22:03:00;NaN;NaN;NaN;9;0.037;1;1.54;1;0;1;47.73;1;0;NaN;0.03
18NA97015_237;CAST#1;45.6568;-60.8553;180609;1;04-jun-97;11:36:00;20.566;9.763;352.18876;4;0.037;1;0;1;0.083;1;0.2;1;6;0.00;0.00
18NA97015_237;CAST#1;45.6568;-60.8553;180608;5;04-jun-97;11:36:00;20.558;9.776;326.06266;4;0.037;1;0;1;0.109;1;0.195;1;6;0.00;0.00
18NA97015_237;CAST#1;45.6568;-60.8553;180607;17;04-jun-97;11:36:00;21.553;0.877;300.74044;4;0.066;1;0.49;1;0.876;1;6.565;1;6;0.56;0.07
18NA97015_239;CAST#1;45.6847;-60.8288;180611;5;04-jun-97;12:08:00;20.953;8.744;341.69366;4;0.037;1;0.06;1;0.149;1;0.37;1;6;0.40;0.16
18NA97015_239;CAST#1;45.6847;-60.8288;180610;15;04-jun-97;12:08:00;21.166;5.707;369.5615;4;0.037;1;0;1;0.239;1;0.175;1;6;0.00;0.00
18NA97015_243;CAST#1;45.7442;-60.8003;180615;1;04-jun-97;12:42:00;NaN;NaN;346.51694;4;0.037;1;0;1;0.2035;1;3.51;1;6;0.00;0.00
18NA97015_243;CAST#1;45.7442;-60.8003;180614;5;04-jun-97;12:42:00;NaN;NaN;347.58878;4;0.037;1;0;1;0.1735;1;3.46;1;6;0.00;0.00
18NA97015_243;CAST#1;45.7442;-60.8003;180613;15;04-jun-97;12:42:00;NaN;NaN;345.71306;4;0.037;1;0;1;0.1775;1;3.155;1;6;0.00;0.00
18NA97015_243;CAST#1;45.7442;-60.8003;180612;37;04-jun-97;12:42:00;NaN;NaN;344.90918;4;0.122;1;0.16;1;0.3385;1;5.915;1;6;0.47;0.03
18NA97015_244;CAST#1;45.7;-60.7917;180618;1;04-jun-97;14:21:00;NaN;NaN;341.47036;4;0.037;1;0;7;0.1345;1;1.23;1;38;0.00;0.00
18NA97015_244;CAST#1;45.7;-60.7917;180617;5;04-jun-97;14:21:00;NaN;NaN;341.69366;4;0.037;1;0;7;0.152;1;1.405;1;38;0.00;0.00
18NA97015_244;CAST#1;45.7;-60.7917;180616;17;04-jun-97;14:21:00;NaN;NaN;364.29162;4;0.037;1;0;7;0.329;1;0.495;1;38;0.00;0.00
18NA97015_247;CAST#1;45.6675;-60.859;180621;1;04-jun-97;15:15:00;NaN;NaN;338.83542;4;0.037;1;0;7;0.083;1;0;1;38;0.00;NaN
18NA97015_247;CAST#1;45.6675;-60.859;180620;5;04-jun-97;15:15:00;NaN;NaN;339.10338;4;0.037;1;0;7;0.0815;1;0.04;1;38;0.00;0.00
18NA97015_247;CAST#1;45.6675;-60.859;180619;10;04-jun-97;15:15:00;NaN;NaN;386.71094;4;0.037;1;0;7;0.1885;1;0;1;38;0.00;NaN
