CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
18MT71036_438;F172_41;47.97861;-69.71667;318;0;22-aug-71;14:45:00;0.12;1;257.10762;4;8.15;1;0.86;1;6;9.48;NaN
18MT71036_438;F172_41;47.97861;-69.71667;319;3;22-aug-71;14:45:00;NaN;9;256.08044;4;9.4;1;1.05;1;6;8.95;NaN
18MT71036_438;F172_41;47.97861;-69.71667;320;5;22-aug-71;14:45:00;NaN;9;256.08044;4;10.4;1;1.25;1;6;8.32;NaN
18MT71036_438;F172_41;47.97861;-69.71667;321;8;22-aug-71;14:45:00;NaN;9;251.61444;4;8.23;1;1.05;1;6;7.84;NaN
18MT71036_438;F172_41;47.97861;-69.71667;322;18;22-aug-71;14:45:00;NaN;9;254.1154;4;7;1;1.11;1;6;6.31;NaN
18MT71036_438;F172_41;47.97861;-69.71667;323;26;22-aug-71;14:45:00;NaN;9;237.09994;4;NaN;9;0.87;1;6;NaN;NaN
18MT71036_439;F172_51;47.97861;-69.71667;324;0;22-aug-71;16:45:00;0.27;1;256.08044;4;11.19;1;0.89;1;6;12.57;NaN
18MT71036_439;F172_51;47.97861;-69.71667;325;5;22-aug-71;16:45:00;NaN;9;250.096;4;8.47;1;0.93;1;6;9.11;NaN
18MT71036_439;F172_51;47.97861;-69.71667;326;10;22-aug-71;16:45:00;NaN;9;250.58726;4;7.48;1;1.19;1;6;6.29;NaN
18MT71036_439;F172_51;47.97861;-69.71667;327;15;22-aug-71;16:45:00;NaN;9;252.59696;4;8.62;1;0.96;1;6;8.98;NaN
18MT71036_439;F172_51;47.97861;-69.71667;328;25;22-aug-71;16:45:00;NaN;9;252.59696;4;8.65;1;0.93;1;6;9.30;NaN
18MT71036_439;F172_51;47.97861;-69.71667;329;50;22-aug-71;16:45:00;NaN;9;243.08438;4;9.76;1;1.24;1;6;7.87;NaN
18MT71036_440;F172_61;47.97861;-69.71667;330;0;22-aug-71;18:50:00;NaN;9;257.10762;4;8.03;7;1.11;1;518;7.23;NaN
18MT71036_440;F172_61;47.97861;-69.71667;331;3;22-aug-71;18:50:00;NaN;9;255.09792;4;4.75;7;0.89;1;518;5.34;NaN
18MT71036_440;F172_61;47.97861;-69.71667;332;7;22-aug-71;18:50:00;NaN;9;251.61444;4;7.1;1;0.96;1;6;7.40;NaN
18MT71036_440;F172_61;47.97861;-69.71667;333;12;22-aug-71;18:50:00;NaN;9;257.59888;4;NaN;9;0.86;1;6;NaN;NaN
18MT71036_440;F172_61;47.97861;-69.71667;334;23;22-aug-71;18:50:00;NaN;9;251.61444;4;8.55;1;1.01;1;6;8.47;NaN
18MT71036_440;F172_61;47.97861;-69.71667;335;48;22-aug-71;18:50:00;NaN;9;244.11156;4;8.78;1;1.03;1;6;8.52;NaN
18MT71036_441;F172_71;47.97861;-69.71667;336;0;22-aug-71;20:45:00;NaN;9;252.1057;4;8.51;1;1.02;1;6;8.34;NaN
18MT71036_441;F172_71;47.97861;-69.71667;337;3;22-aug-71;20:45:00;NaN;9;254.60666;4;6.15;1;0.94;1;6;6.54;NaN
18MT71036_441;F172_71;47.97861;-69.71667;338;7;22-aug-71;20:45:00;NaN;9;259.60858;4;6.25;1;1.2;1;6;5.21;NaN
18MT71036_441;F172_71;47.97861;-69.71667;339;11;22-aug-71;20:45:00;NaN;9;254.1154;4;7.94;1;0.93;1;6;8.54;NaN
18MT71036_441;F172_71;47.97861;-69.71667;340;20;22-aug-71;20:45:00;NaN;9;248.57756;4;6.15;1;1.01;1;6;6.09;NaN
18MT71036_441;F172_71;47.97861;-69.71667;341;39;22-aug-71;20:45:00;NaN;9;244.60282;4;9.7;1;1.03;1;6;9.42;NaN
18MT71036_443;F4831;47.80444;-69.84222;342;0;23-aug-71;11:40:00;NaN;9;260.09984;4;8.82;1;0.78;1;6;11.31;NaN
18MT71036_443;F4831;47.80444;-69.84222;343;5;23-aug-71;11:40:00;NaN;9;254.60666;4;8.78;1;1.16;1;6;7.57;NaN
18MT71036_443;F4831;47.80444;-69.84222;344;9;23-aug-71;11:40:00;NaN;9;247.10378;4;6.4;1;1.03;1;6;6.21;NaN
18MT71036_443;F4831;47.80444;-69.84222;345;14;23-aug-71;11:40:00;NaN;9;250.096;4;9.33;1;1.23;1;6;7.59;NaN
18MT71036_443;F4831;47.80444;-69.84222;346;23;23-aug-71;11:40:00;NaN;9;242.10186;4;NaN;9;0.85;1;6;NaN;NaN
18MT71036_443;F4831;47.80444;-69.84222;347;46;23-aug-71;11:40:00;NaN;9;240.58342;4;11.03;1;0.97;1;6;11.37;NaN
18MT71036_434;F1181;47.92722;-69.58667;348;0;23-aug-71;13:45:00;NaN;9;263.09206;4;8.55;1;0.82;1;6;10.43;NaN
18MT71036_434;F1181;47.92722;-69.58667;349;5;23-aug-71;13:45:00;NaN;9;259.60858;4;8.89;1;1.09;1;6;8.16;NaN
18MT71036_434;F1181;47.92722;-69.58667;350;10;23-aug-71;13:45:00;NaN;9;268.58524;4;9.39;1;0.91;1;6;10.32;NaN
18MT71036_434;F1181;47.92722;-69.58667;351;15;23-aug-71;13:45:00;NaN;9;251.61444;4;11.04;1;1.22;1;6;9.05;NaN
18MT71036_442;F1721;47.97861;-69.71667;352;0;23-aug-71;16:00:00;NaN;9;273.58716;4;7.76;1;1.06;1;6;7.32;NaN
18MT71036_442;F1721;47.97861;-69.71667;353;4;23-aug-71;16:00:00;NaN;9;281.62596;4;7.05;1;1.13;1;6;6.24;NaN
18MT71036_442;F1721;47.97861;-69.71667;354;7;23-aug-71;16:00:00;NaN;9;NaN;9;8.68;1;1.03;1;0;8.43;NaN
18MT71036_442;F1721;47.97861;-69.71667;355;11;23-aug-71;16:00:00;NaN;9;251.61444;4;8.11;1;1.19;1;6;6.82;NaN
18MT71036_442;F1721;47.97861;-69.71667;356;18;23-aug-71;16:00:00;NaN;9;250.58726;4;9.05;1;1.06;1;6;8.54;NaN
18MT71036_442;F1721;47.97861;-69.71667;357;36;23-aug-71;16:00:00;NaN;9;245.58534;4;8.48;1;1.08;1;6;7.85;NaN
